-1.340,-2.867,3.347,181.885,-95.703,-67.932
0.277,-1.359,-1.335,-30.396,88.806,-87.708
-0.578,-1.588,0.490,52.307,-86.304,-49.133
-0.696,-0.916,0.049,70.618,-93.506,-14.771
-0.670,-0.164,-0.279,43.823,-62.439,22.156
-0.702,-0.878,-0.057,22.095,-2.625,35.828
-0.311,-1.114,-0.032,-13.367,17.151,12.756
-0.151,-1.225,0.294,-21.545,13.916,3.845
0.014,-1.098,0.276,-12.573,1.343,1.160
-0.046,-1.062,0.185,7.690,-2.686,-6.958
-0.092,-0.979,0.153,15.930,0.977,-12.512
-0.112,-0.959,-0.020,9.949,9.644,-16.602
-0.131,-0.956,-0.102,1.221,9.583,-18.616
-0.137,-0.962,-0.147,-5.493,3.662,-17.395
-0.142,-0.963,-0.171,-9.583,-4.089,-12.695
-0.153,-0.971,-0.163,-11.230,-11.292,-7.446
-0.159,-0.979,-0.110,-11.230,-18.250,-3.418
-0.176,-1.010,-0.040,-9.033,-21.606,-1.343
-0.183,-1.027,0.017,-3.113,-20.386,0.061
-0.184,-1.026,0.058,1.404,-13.611,0.183
-0.176,-1.020,0.056,6.042,-3.967,-0.793
-0.170,-1.022,0.028,11.475,2.441,-2.319
-0.169,-1.005,0.008,14.893,6.836,-3.418
-0.173,-0.998,-0.011,15.076,9.705,-4.700
-0.174,-0.985,-0.027,13.489,10.803,-5.676
-0.172,-0.969,-0.046,10.376,10.376,-5.676
-0.178,-0.962,-0.055,7.019,8.301,-5.005
-0.186,-0.956,-0.051,5.005,6.104,-4.150
-0.194,-0.956,-0.052,3.601,5.127,-3.662
-0.195,-0.948,-0.040,1.526,4.944,-3.296
-0.199,-0.943,-0.024,-0.427,4.700,-2.930
-0.205,-0.935,-0.005,-1.587,4.272,-2.563
-0.205,-0.929,0.003,-2.014,4.456,-1.953
-0.205,-0.927,0.001,-2.014,4.517,-1.404
-0.199,-0.929,-0.011,-2.136,4.089,-0.183
-0.195,-0.937,-0.021,-2.380,3.662,1.221
-0.191,-0.955,-0.034,-2.502,3.723,2.869
-0.187,-0.978,-0.044,-2.747,3.967,4.028
-0.187,-0.991,-0.036,-2.869,4.517,5.188
-0.184,-1.000,-0.024,-2.991,4.883,5.493
-0.185,-1.003,-0.005,-3.113,5.005,5.371
-0.187,-1.010,0.002,-2.441,4.944,4.761
-0.190,-1.019,0.002,-1.282,4.395,3.723
-0.190,-1.023,-0.004,-0.061,3.662,2.563
-0.192,-1.022,-0.024,0.244,2.441,1.343
-0.197,-1.026,-0.036,-0.244,1.160,0.183
-0.192,-1.013,-0.043,-1.038,0.061,-0.488
-0.194,-1.009,-0.046,-1.587,-0.427,-0.854
-0.191,-1.000,-0.037,-2.380,-0.732,-0.671
-0.192,-0.992,-0.029,-3.418,-0.732,-0.183
-0.188,-0.986,-0.029,-3.967,-0.427,0.244
-0.190,-0.984,-0.024,-3.784,-0.671,0.854
-0.197,-0.988,-0.014,-3.540,-0.854,1.465
-0.200,-0.991,-0.009,-3.357,-0.671,1.831
-0.203,-1.000,-0.015,-3.540,-0.122,1.648
-0.200,-1.000,-0.017,-4.944,0.916,1.160
-0.199,-1.000,-0.021,-5.981,1.587,0.427
-0.197,-0.997,-0.028,-6.287,2.014,0.122
-0.194,-0.995,-0.031,-5.859,2.014,0.427
-0.191,-0.991,-0.026,-5.493,1.648,0.854
-0.190,-0.989,-0.019,-4.944,1.099,1.038
-0.190,-0.991,-0.024,-4.578,0.793,1.404
-0.187,-0.988,-0.024,-4.272,0.488,1.709
-0.186,-0.987,-0.018,-3.784,-0.122,1.831
-0.188,-0.993,-0.016,-2.747,-0.366,2.075
-0.188,-0.999,-0.018,-1.831,0.183,2.197
-0.190,-1.000,-0.013,-1.465,0.671,1.892
-0.191,-1.004,-0.011,-0.916,1.221,1.526
-0.188,-1.007,-0.006,0.061,1.587,1.160
-0.187,-1.010,-0.005,0.977,1.587,0.793
-0.186,-1.011,-0.009,1.282,1.648,0.305
-0.186,-1.008,-0.012,1.282,1.282,-0.061
-0.184,-1.005,-0.017,0.916,1.160,-0.488
-0.184,-1.001,-0.019,0.305,1.160,-0.610
-0.191,-0.996,-0.016,0.488,0.793,-0.366
-0.192,-0.994,-0.016,0.854,0.610,-0.061
-0.193,-0.999,-0.015,0.793,0.488,0.488
-0.193,-1.001,-0.007,0.427,0.244,0.977
-0.193,-1.004,-0.004,0.122,-0.061,0.977
-0.192,-1.002,-0.002,-0.244,-0.488,1.038
-0.193,-1.003,-0.002,-0.488,-0.610,0.732
-0.193,-1.000,-0.004,-0.427,-0.549,0.427
-0.190,-1.000,-0.008,-0.244,0.000,0.366
-0.187,-0.999,-0.007,-0.549,0.366,0.366
-0.185,-0.997,-0.003,-0.122,0.427,0.366
-0.182,-0.998,-0.005,0.427,0.427,0.671
-0.182,-1.001,-0.009,0.916,0.244,1.038
-0.181,-1.001,-0.014,1.099,-0.061,1.099
-0.184,-1.001,-0.020,0.671,-0.122,1.221
-0.184,-1.002,-0.024,-0.061,-0.122,1.038
-0.187,-1.001,-0.023,-0.061,-0.244,0.854
-0.188,-1.001,-0.024,0.183,-0.305,0.732
-0.189,-1.001,-0.020,0.610,-0.122,0.610
-0.186,-1.002,-0.014,0.916,-0.122,0.549
-0.187,-1.003,-0.006,1.038,-0.366,0.610
-0.187,-1.002,-0.010,0.732,0.061,0.305
-0.185,-1.001,-0.018,0.000,0.488,-0.061
-0.184,-1.001,-0.026,-0.427,0.488,-0.061
-0.183,-1.000,-0.034,0.122,0.244,0.305
-0.183,-1.001,-0.036,0.916,0.061,0.732
-0.184,-1.003,-0.033,1.282,0.183,0.854
-0.184,-1.004,-0.027,0.977,0.305,0.793
-0.186,-1.005,-0.018,0.793,0.610,0.488
-0.186,-1.006,-0.013,0.732,0.916,0.366
-0.184,-1.006,-0.010,0.610,0.977,0.244
-0.184,-1.008,-0.008,0.488,0.916,0.122
-0.187,-1.006,-0.010,0.122,0.732,-0.061
-0.185,-1.002,-0.012,-0.305,0.671,-0.244
-0.188,-0.999,-0.014,-1.038,0.244,-0.366
-0.189,-0.995,-0.012,-1.465,-0.305,-0.610
-0.191,-0.993,-0.015,-1.282,-0.488,-0.366
-0.192,-0.995,-0.014,-1.099,-0.793,0.000
-0.192,-1.000,-0.011,-0.854,-0.854,0.427
-0.190,-1.001,-0.009,-0.549,-0.854,0.610
-0.188,-1.004,-0.011,-0.305,-0.793,0.549
-0.184,-1.002,-0.013,-0.732,-0.549,0.366
-0.181,-1.001,-0.015,-1.038,-0.549,0.122
-0.180,-1.001,-0.014,-0.977,-0.366,-0.061
-0.179,-0.987,-0.025,-0.916,-0.061,-0.244
#
0.056,-1.650,-4.000,56.396,378.418,-52.063
0.744,-1.520,-0.618,181.702,57.495,-138.306
-0.229,-1.097,0.772,3.052,-145.264,-81.116
-0.543,-0.468,0.089,51.331,-46.082,-12.146
-1.391,-0.484,-0.184,65.430,27.466,48.462
-0.625,-0.995,-0.419,8.240,10.010,39.856
-0.166,-0.949,-0.104,-36.621,-18.494,21.484
0.055,-0.990,-0.114,-36.560,-15.381,0.366
0.042,-1.132,-0.054,-23.132,0.549,-26.184
-0.099,-1.045,0.079,-9.949,8.728,-27.832
-0.108,-0.881,0.027,-7.874,16.907,-18.066
-0.106,-0.920,-0.039,-4.028,19.409,-12.085
-0.131,-1.028,-0.045,-2.014,16.907,-9.460
-0.156,-1.044,-0.156,-5.310,16.479,-3.845
-0.167,-1.024,-0.214,-9.277,14.404,1.526
-0.159,-1.037,-0.244,-12.451,10.010,4.883
-0.149,-1.036,-0.229,-13.245,3.296,7.019
-0.151,-1.058,-0.160,-9.827,-6.165,7.446
-0.147,-1.032,-0.057,-5.310,-12.146,6.714
-0.171,-1.064,0.016,3.540,-13.733,4.272
-0.170,-1.058,0.040,11.230,-11.292,1.526
-0.159,-1.064,-0.005,11.108,-8.240,-1.953
-0.150,-1.048,-0.024,10.193,-7.141,-4.211
-0.150,-1.022,-0.053,9.033,-7.080,-5.798
-0.150,-0.992,-0.088,7.996,-6.897,-6.714
-0.152,-0.970,-0.104,6.836,-6.409,-6.714
-0.149,-0.956,-0.115,5.432,-5.554,-6.165
-0.150,-0.952,-0.112,5.310,-4.517,-5.798
-0.155,-0.954,-0.096,5.676,-3.784,-5.249
-0.162,-0.953,-0.078,5.615,-2.869,-4.700
-0.167,-0.949,-0.068,4.700,-1.587,-4.089
-0.171,-0.952,-0.063,3.235,-0.671,-3.235
-0.173,-0.954,-0.063,1.953,0.061,-1.831
-0.173,-0.963,-0.067,0.366,0.610,0.000
-0.173,-0.968,-0.080,-1.160,0.671,1.892
-0.174,-0.990,-0.097,-2.197,-0.366,3.296
-0.174,-0.999,-0.100,-3.052,-1.038,4.333
-0.170,-1.006,-0.117,-4.089,-0.977,5.127
-0.165,-1.016,-0.117,-3.601,-1.892,4.944
-0.167,-1.018,-0.100,-1.953,-2.747,4.639
-0.170,-1.016,-0.090,-0.732,-2.563,3.479
-0.169,-1.011,-0.078,-0.183,-2.136,1.953
-0.170,-1.003,-0.076,0.305,-1.831,0.305
-0.166,-0.999,-0.082,0.549,-1.526,-0.610
-0.173,-0.997,-0.093,0.671,-1.404,-1.099
-0.172,-0.993,-0.087,0.671,-2.014,-1.221
-0.178,-0.993,-0.090,0.671,-2.380,-0.793
-0.175,-0.994,-0.104,-0.183,-2.136,-0.916
-0.172,-0.990,-0.108,-0.793,-2.258,-0.610
-0.169,-0.990,-0.116,-1.099,-2.319,-0.061
-0.168,-0.993,-0.117,-1.160,-2.197,0.488
-0.172,-0.999,-0.109,-0.793,-2.380,0.854
-0.171,-1.001,-0.104,-0.793,-2.502,1.282
-0.169,-1.000,-0.100,-0.916,-2.319,1.404
-0.167,-1.000,-0.094,-0.916,-2.197,1.221
-0.165,-1.000,-0.098,-0.793,-2.136,0.854
-0.162,-1.002,-0.099,-0.549,-1.892,0.854
-0.163,-1.011,-0.091,-0.671,-1.709,0.671
-0.160,-1.010,-0.107,-1.282,-1.160,0.305
-0.160,-1.014,-0.108,-1.343,-1.038,0.061
-0.159,-1.014,-0.112,-1.343,-1.038,-0.366
-0.158,-1.012,-0.109,-1.221,-1.221,-0.916
-0.157,-1.005,-0.106,-0.732,-1.709,-1.221
-0.159,-1.004,-0.107,0.000,-2.197,-1.160
-0.166,-1.004,-0.100,0.305,-2.380,-1.282
-0.170,-1.000,-0.098,-0.183,-2.197,-1.343
-0.170,-0.998,-0.096,-0.549,-1.587,-1.404
-0.170,-0.997,-0.095,-1.038,-0.854,-1.282
-0.173,-0.997,-0.093,-0.977,-0.061,-1.160
-0.176,-0.997,-0.094,-0.671,0.305,-0.854
-0.175,-1.000,-0.098,-0.305,0.549,-0.977
-0.171,-0.997,-0.100,-0.366,0.732,-1.221
-0.169,-0.995,-0.102,-0.122,0.671,-1.160
-0.167,-0.995,-0.101,0.366,0.488,-1.160
-0.168,-0.994,-0.099,0.854,0.549,-0.854
-0.168,-0.996,-0.096,1.282,0.427,-0.793
-0.168,-0.999,-0.092,1.770,0.427,-0.671
-0.170,-0.999,-0.086,1.709,0.244,-0.549
-0.170,-1.000,-0.085,1.648,0.305,-0.366
-0.171,-1.001,-0.091,1.465,0.610,-0.244
-0.170,-1.000,-0.097,1.282,0.610,-0.183
-0.170,-1.001,-0.099,1.160,0.488,-0.244
-0.170,-1.004,-0.102,0.916,0.366,-0.305
-0.173,-1.006,-0.104,0.305,0.549,-0.305
-0.171,-1.008,-0.106,-0.122,0.366,-0.305
-0.172,-1.010,-0.103,-0.366,0.244,-0.427
-0.172,-1.008,-0.098,-0.610,0.000,-0.732
-0.173,-1.002,-0.093,-0.793,-0.183,-0.977
-0.172,-1.001,-0.095,-0.610,-0.183,-1.038
-0.168,-0.999,-0.098,-0.488,0.183,-1.221
-0.166,-1.000,-0.100,-0.427,0.427,-1.282
-0.164,-1.000,-0.099,-0.366,0.671,-1.282
-0.165,-1.000,-0.099,-0.183,0.977,-1.221
-0.163,-1.000,-0.104,-0.488,1.160,-1.343
-0.164,-1.000,-0.107,-0.732,0.977,-1.343
-0.165,-1.001,-0.110,-0.610,0.732,-1.160
-0.168,-1.000,-0.109,-0.427,0.549,-0.793
-0.167,-0.997,-0.102,-0.427,0.122,-0.610
-0.169,-0.997,-0.094,-0.183,-0.610,-0.305
-0.171,-0.997,-0.088,-0.549,-0.916,-0.061
-0.173,-0.998,-0.085,-0.977,-1.038,0.122
-0.176,-0.997,-0.085,-1.465,-1.099,0.122
-0.176,-0.999,-0.089,-1.648,-0.916,0.244
-0.171,-1.000,-0.094,-1.404,-0.488,0.244
-0.169,-1.001,-0.100,-0.977,-0.305,0.305
-0.170,-1.001,-0.106,-0.549,-0.183,0.183
-0.168,-1.005,-0.112,-0.244,-0.183,0.000
-0.167,-1.003,-0.111,-0.366,-0.183,-0.244
-0.165,-1.001,-0.107,-0.427,-0.549,-0.244
-0.164,-1.000,-0.104,-0.244,-0.793,-0.244
-0.166,-1.000,-0.104,-0.366,-0.854,0.122
-0.169,-1.001,-0.098,-0.549,-1.038,0.366
-0.173,-1.000,-0.097,-0.916,-0.854,0.305
-0.176,-0.996,-0.094,-1.282,-0.732,0.183
-0.176,-0.993,-0.093,-1.343,-0.488,-0.061
-0.173,-0.993,-0.093,-1.221,-0.305,0.061
-0.170,-0.995,-0.096,-0.977,-0.122,0.427
-0.171,-1.000,-0.097,-1.160,-0.061,0.793
-0.172,-1.003,-0.101,-1.526,0.244,0.793
#
2.784,-1.856,-1.406,-46.875,44.983,-96.191
-0.302,-1.646,0.547,-29.602,-32.288,-111.023
-0.720,-0.575,0.640,77.271,-97.778,-11.963
-1.440,-0.278,0.035,36.621,-45.288,53.589
-0.830,-1.005,-0.974,-15.686,5.493,29.724
-0.208,-1.055,0.001,-75.806,-8.362,-6.042
0.166,-1.097,0.074,-84.595,-32.898,-23.621
0.166,-0.842,0.024,-21.484,-24.902,-23.132
0.044,-0.784,-0.037,20.386,-19.165,-20.691
-0.106,-0.790,-0.016,29.297,-17.212,-15.320
-0.188,-0.952,-0.037,23.560,-9.705,-9.583
-0.189,-1.038,-0.141,16.174,-4.578,-6.409
-0.204,-1.078,-0.203,6.836,-6.165,-4.395
-0.221,-1.073,-0.156,-4.211,-11.536,-1.343
-0.205,-1.043,-0.154,-13.184,-13.489,3.357
-0.184,-1.048,-0.156,-13.794,-14.465,6.592
-0.186,-1.059,-0.043,-7.324,-19.470,8.728
-0.198,-1.091,0.069,-1.831,-18.616,8.667
-0.200,-1.108,0.045,-0.854,-7.507,6.409
-0.203,-1.101,0.010,2.380,0.427,3.845
-0.193,-1.088,-0.023,4.761,5.798,0.427
-0.178,-1.045,-0.069,3.723,9.277,-2.747
-0.168,-1.013,-0.110,3.174,11.292,-4.944
-0.162,-0.985,-0.134,3.967,11.292,-6.042
-0.159,-0.959,-0.158,4.761,9.644,-5.249
-0.163,-0.948,-0.165,5.493,7.324,-4.028
-0.165,-0.941,-0.150,5.981,5.188,-2.930
-0.167,-0.940,-0.129,6.042,3.845,-2.380
-0.170,-0.940,-0.109,4.822,3.296,-1.831
-0.176,-0.944,-0.087,3.662,2.808,-1.038
-0.185,-0.945,-0.083,2.686,2.014,-0.183
-0.193,-0.950,-0.082,2.075,0.732,1.038
-0.192,-0.953,-0.092,0.916,-0.183,2.563
-0.190,-0.962,-0.101,-0.732,-1.160,3.906
-0.185,-0.975,-0.105,-2.747,-2.014,5.493
-0.183,-0.996,-0.102,-4.517,-2.625,6.470
-0.184,-1.004,-0.099,-5.615,-2.808,7.080
-0.183,-1.014,-0.099,-5.981,-2.136,6.836
-0.183,-1.019,-0.097,-4.883,-1.038,6.042
-0.180,-1.017,-0.092,-3.052,0.488,5.188
-0.180,-1.021,-0.090,-1.099,2.258,3.784
-0.177,-1.014,-0.087,0.305,4.211,2.686
-0.178,-1.012,-0.096,1.404,5.371,2.014
-0.182,-1.005,-0.099,1.587,5.249,0.793
-0.182,-1.000,-0.105,1.038,4.089,0.427
-0.183,-0.998,-0.115,0.427,3.296,0.122
-0.182,-0.992,-0.107,0.000,2.014,-0.122
-0.178,-0.989,-0.113,-0.916,1.404,0.122
-0.175,-0.991,-0.121,-1.648,0.854,0.549
-0.172,-0.993,-0.118,-1.892,0.183,0.732
-0.171,-0.993,-0.112,-2.197,-0.061,0.977
-0.171,-0.996,-0.103,-2.747,-0.122,1.160
-0.173,-0.997,-0.096,-3.662,0.061,1.221
-0.174,-1.000,-0.097,-4.333,0.305,1.465
-0.172,-1.001,-0.099,-4.456,0.061,1.709
-0.174,-1.004,-0.102,-4.272,-0.488,1.465
-0.174,-1.006,-0.105,-4.272,-0.610,1.343
-0.175,-1.004,-0.102,-4.150,-0.427,1.221
-0.175,-1.005,-0.098,-3.967,-0.122,1.038
-0.175,-1.007,-0.092,-3.296,0.000,0.610
-0.175,-1.006,-0.088,-2.869,0.122,0.366
-0.176,-1.004,-0.086,-2.502,0.366,0.061
-0.174,-1.002,-0.088,-2.075,0.793,-0.183
-0.171,-1.001,-0.091,-1.770,0.977,-0.488
-0.169,-1.001,-0.096,-1.221,1.038,-0.610
-0.167,-1.002,-0.098,-0.916,1.160,-0.916
-0.168,-1.005,-0.096,-0.977,1.099,-1.099
-0.165,-1.001,-0.095,-1.343,0.916,-1.221
-0.163,-1.001,-0.096,-1.526,0.488,-1.160
-0.166,-0.999,-0.095,-1.343,0.061,-1.160
-0.170,-0.996,-0.087,-0.977,-0.427,-1.221
-0.175,-0.990,-0.083,-0.732,-0.488,-0.916
-0.179,-0.985,-0.087,-0.549,-0.244,-0.427
-0.179,-0.983,-0.089,-0.549,0.122,0.000
-0.183,-0.986,-0.086,-0.305,0.183,0.366
-0.182,-0.996,-0.086,0.183,0.671,0.732
-0.178,-1.001,-0.090,0.122,0.793,0.793
-0.180,-1.005,-0.089,-0.305,0.671,0.793
-0.180,-1.010,-0.088,-0.854,0.244,0.244
-0.178,-1.011,-0.081,-1.099,0.122,-0.183
-0.179,-1.008,-0.077,-1.404,0.244,-0.549
-0.177,-1.010,-0.076,-1.282,0.427,-0.488
-0.176,-1.008,-0.078,-0.916,0.183,-0.488
-0.175,-1.008,-0.082,-0.305,0.366,-0.732
-0.173,-1.009,-0.088,-0.183,0.488,-1.038
-0.172,-1.008,-0.098,-0.366,0.732,-1.343
-0.172,-1.005,-0.103,-0.305,0.610,-1.526
-0.172,-1.002,-0.109,-0.244,-0.061,-1.709
-0.172,-0.998,-0.107,-0.488,-0.732,-1.465
-0.178,-0.992,-0.101,-0.732,-1.404,-1.221
-0.180,-0.990,-0.091,-0.916,-1.465,-0.916
-0.181,-0.991,-0.082,-1.282,-1.099,-0.610
-0.182,-0.992,-0.074,-1.404,-0.854,-0.488
-0.181,-0.990,-0.071,-1.526,-0.427,-0.549
-0.181,-0.996,-0.077,-1.831,0.000,-0.549
-0.180,-0.999,-0.084,-1.892,0.549,-0.488
-0.177,-0.999,-0.095,-2.380,0.916,-0.488
-0.175,-0.998,-0.105,-2.747,0.854,-0.488
-0.174,-1.000,-0.108,-2.808,0.671,-0.183
-0.173,-1.000,-0.103,-2.808,0.366,-0.122
-0.175,-1.002,-0.094,-2.258,0.183,-0.183
-0.176,-1.003,-0.086,-1.953,0.305,0.000
-0.177,-1.004,-0.081,-1.831,0.366,-0.061
-0.180,-1.001,-0.076,-1.892,0.427,-0.549
-0.178,-0.999,-0.075,-2.075,0.793,-0.854
-0.176,-0.993,-0.079,-1.770,0.916,-0.977
-0.176,-0.993,-0.082,-0.916,0.793,-0.793
-0.179,-0.996,-0.083,-0.061,0.854,-0.366
-0.178,-0.995,-0.087,-0.061,0.854,0.061
-0.175,-0.995,-0.092,-0.305,0.183,0.244
-0.175,-0.996,-0.095,-0.488,-0.183,0.427
-0.176,-0.996,-0.094,-0.610,-0.366,0.610
-0.176,-1.000,-0.087,-0.671,-0.671,0.549
-0.177,-0.998,-0.073,-1.160,-0.916,0.549
-0.180,-0.998,-0.071,-1.709,-0.488,0.732
-0.177,-0.999,-0.076,-2.014,-0.061,0.671
-0.175,-1.001,-0.081,-1.587,-0.244,0.549
-0.174,-1.001,-0.086,-1.282,-0.061,0.549
-0.173,-1.002,-0.091,-0.916,0.305,0.488
#
2.102,-2.556,-1.017,70.923,175.964,-123.352
-0.083,-1.492,-0.843,-72.693,94.727,-106.812
-0.371,-0.601,0.284,96.680,-67.932,-31.555
-1.349,-0.113,-0.276,18.921,-45.471,30.823
-0.933,-0.701,-0.530,-54.749,-18.921,8.301
-0.421,-1.414,-0.040,-67.993,-12.451,-28.992
0.002,-1.055,-0.074,-30.518,-17.029,-14.832
0.081,-0.924,-0.027,5.554,-16.357,-14.526
-0.059,-0.864,0.145,17.395,-21.912,-20.142
-0.160,-0.899,0.216,13.977,-18.616,-18.738
-0.185,-0.965,0.123,10.437,-6.836,-17.456
-0.172,-1.011,0.045,5.310,3.418,-13.916
-0.206,-1.037,-0.182,-4.944,10.864,-7.996
-0.221,-1.024,-0.299,-13.184,8.057,-2.197
-0.234,-1.027,-0.248,-13.550,-3.357,4.211
-0.239,-1.052,-0.147,-9.827,-12.634,8.972
-0.235,-1.058,-0.085,-6.104,-15.869,12.390
-0.239,-1.063,-0.030,-0.610,-17.273,13.123
-0.240,-1.070,0.031,6.348,-17.639,11.536
-0.237,-1.061,0.073,11.780,-14.832,8.667
-0.227,-1.102,0.044,12.939,-5.798,4.700
-0.207,-1.049,-0.023,7.935,8.118,0.854
-0.203,-1.014,-0.085,5.798,11.353,-1.404
-0.205,-0.985,-0.101,4.822,9.705,-2.625
-0.203,-0.953,-0.123,4.211,8.484,-2.747
-0.201,-0.950,-0.129,4.761,7.019,-2.319
-0.203,-0.937,-0.125,5.920,4.700,-1.648
-0.201,-0.944,-0.105,6.714,3.052,-1.038
-0.208,-0.939,-0.089,6.226,2.075,-0.427
-0.205,-0.943,-0.079,4.883,1.343,-0.061
-0.203,-0.946,-0.069,3.113,0.366,0.977
-0.208,-0.945,-0.070,1.587,-0.610,2.075
-0.216,-0.952,-0.068,0.183,-1.953,3.357
-0.217,-0.959,-0.075,-1.160,-2.625,4.700
-0.217,-0.976,-0.078,-2.258,-2.991,5.554
-0.217,-0.990,-0.075,-2.930,-2.747,6.287
-0.216,-0.996,-0.077,-3.235,-1.770,6.470
-0.213,-1.003,-0.076,-3.418,-0.732,6.409
-0.211,-1.008,-0.071,-3.296,0.305,5.554
-0.214,-1.010,-0.066,-3.540,1.526,4.211
-0.216,-1.010,-0.066,-3.662,3.052,2.563
